Resumen de incidencia;Horas registradas;Fecha de trabajo;Fecha;Hora Registro;Hasta;Cliente;Descripción del Trabajo;Clave Padre
Marketo | Documentación estructura custom objects;1,25;2025-05-14 08:15;2025-05-14;08:15;9:30;IE;Documentación custom objects y api;IE70-4
Reuniones con cliente ad-hoc;0,5;2025-05-14 09:30;2025-05-14;09:30;10:00;IE;Sync con equipo de minsait sobre personalización thank you page;IE70-7
Marketo | Documentación API Marketo para custom objects;1,25;2025-05-14 10:00;2025-05-14;10:00;11:15;IE;Documentación api marketo para manipulación de custom objects;IE70-4
Marketo | Definición Custom Object;1,25;2025-05-14 11:15;2025-05-14;11:15;12:30;IE;Documentación custom objects y de la API, preparación de ejemplos. Envio correo con información;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;1;2025-05-14 13:30;2025-05-14;13:30;14:30;IE;Redacción correo para informar sobre nueva propuesta de Manejo de eventos y su integración con el portal de eventos en AEM;IE70-4
Marketo | Definición Custom Object;1,5;2025-05-14 14:30;2025-05-14;14:30;16:00;IE;Actualización custom objects. Se agregan los campos y estructura definida en la definición del CO en Marketo;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;0,5;2025-05-15 06:00;2025-05-15;06:00;6:30;IE;Redacción correo propuesta;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;0,5;2025-05-15 06:30;2025-05-15;06:30;7:00;IE;Seguimiento consultas de Anderson para integración;IE70-4
IE-Daily;0,5;2025-05-15 07:30;2025-05-15;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,417;2025-05-15 08:00;2025-05-15;08:00;8:25;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Marketo | Integración portal AEM con eventos de Mkto;0,583;2025-05-15 08:25;2025-05-15;08:25;8:59;IE;Seguimiento Anderson;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;0,25;2025-05-15 10:45;2025-05-15;10:45;11:00;IE;Seguimiento Anderson;IE70-4
Reuniones con cliente ad-hoc;0,5;2025-05-15 11:00;2025-05-15;11:00;11:30;IE;"HERA: Revisión interna CRM - Adobe - AEM - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Por favor, reenviad a quienes consideréis oportuno.
___________";IE70-7
Exploración entorno Twilio y documentación;0,75;2025-05-15 11:30;2025-05-15;11:30;12:15;IE;Se revisan los enlaces de documentación proporcionado por el equipo de Twilio;IE70-339
Exploración entorno Twilio y documentación;0,75;2025-05-15 12:15;2025-05-15;12:15;13:00;IE;Se analiza integración reporting con Marketo;IE70-339
Creacion de propuesta de forms;1;2025-05-15 14:00;2025-05-15;14:00;15:00;IE;Sesión Andres para revisión propuesta;IE70-269
Creación pruebas para mostrar cliente;1;2025-05-15 15:00;2025-05-15;15:00;16:00;IE;Se prueba envió por template en Marketo y template en Twilio;IE70-339
Exploración entorno Twilio y documentación;0,5;2025-05-16 06:00;2025-05-16;06:00;6:30;IE;Preparación para exponer puntos revisados con cliente;IE70-339
Reuniones con cliente ad-hoc;0,5;2025-05-16 06:30;2025-05-16;06:30;7:00;IE;"FW: Seguimiento mensajeria y sms Twilio Marketing - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro



________________________________
From: Clara Pizarro Valle ";IE70-7
IE-Planning;1,3;2025-05-16 07:00;2025-05-16;07:00;8:15;IE;Planning para resolver dependencia AEM y Marketo;IE70-7
Creación web scrapper para generación eventos con pipes;0,75;2025-05-16 08:15;2025-05-16;08:15;9:00;IE;Ajuste evetos;IE70-331
Reuniones con cliente ad-hoc;0,75;2025-05-16 09:00;2025-05-16;09:00;9:45;IE;"Proyecto HERA (Adobe) | Entendimiento de la integración del Quiz con HubSpot - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Hola a todos,

Volvemos a convocarla a la hora inicial, para q";IE70-7
Exploración entorno Twilio y documentación;0,25;2025-05-16 09:45;2025-05-16;09:45;10:00;IE;Revisión Zappier + Marketo;IE70-339
Dev | Seguimiento implementación scripts;1;2025-05-16 15:00;2025-05-16;15:00;16:00;IE;Revisión implementación scripts en las landings;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;1,0;2025-05-19 06:00;2025-05-19;06:00;7:00;IE;IE | Eventos Mariella;IE70-4
Reuniones con cliente ad-hoc;1,0;2025-05-19 07:00;2025-05-19;07:00;8:00;IE;"IE | Pruebas e2e Portal eventos - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 271 366 340 374
Passcode: wD7rn3np
________________________________
For organizers: Meeting options
_____";IE70-7
IE-Daily;0,25;2025-05-19 08:00;2025-05-19;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Marketo | Análisis y seguimiento desarrollo para integración catálogo CRM con forms de Marketo;1,25;2025-05-19 08:15;2025-05-19;08:15;9:30;IE;Redacción email de propuesta de uso de pipes en eventos;IE70-3
Marketo | Modelo inicial de datos;1;2025-05-19 09:30;2025-05-19;09:30;10:30;IE;"IE | Revisión modelo de datos  - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 225 801 703 713 4
Passcode: XE7yP6yR
________________________________
For organizers: Meeting options
___";IE70-3
Marketo | Definición Custom Object;0,5;2025-05-19 10:30;2025-05-19;10:30;11:00;IE;IE | Revisión Triggers Custom Objects;IE70-4
Reuniones con cliente ad-hoc;0,5;2025-05-19 11:00;2025-05-19;11:00;11:30;IE;"HERA: Revisión interna CRM - Adobe - AEM - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Por favor, reenviad a quienes consideréis oportuno.
___________";IE70-7
Marketo | Definición Custom Object;1;2025-05-19 11:30;2025-05-19;11:30;12:30;IE;IE | Test triggers custom objectes con campañas de sms;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;2;2025-05-19 13:30;2025-05-19;13:30;15:30;IE;Creación excel con parametrización;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;1;2025-05-19 18:00;2025-05-19;18:00;19:00;IE;Configuración template y nuevos eventos con tokens definidos. Se crean dos por categoria;IE70-4
Reuniones con cliente ad-hoc;1,0;2025-05-20 05:45;2025-05-20;05:45;6:45;IE;"Proyecto HERA (Adobe) | Estrategia de formularios - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro



________________________________
De: HERA - Change Manageme";IE70-7
Marketo | Análisis y seguimiento desarrollo para integración catálogo CRM con forms de Marketo;0,8;2025-05-20 06:45;2025-05-20;06:45;7:30;IE;Se agreca campo hidden en eventos de prueba;IE70-3
IE-Daily;0,5;2025-05-20 07:30;2025-05-20;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,25;2025-05-20 08:00;2025-05-20;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Marketo | Análisis y seguimiento desarrollo para integración catálogo CRM con forms de Marketo;1,25;2025-05-20 08:15;2025-05-20;08:15;9:30;IE;Accesos Minsaiy ajuste pathway multiple para eventos configurados;IE70-3
Reuniones con cliente ad-hoc;0,5;2025-05-20 09:30;2025-05-20;09:30;10:00;IE;"Revisión modificación planificación Dynamics - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro



________________________________
From: Gonzalez Paredes, Yo";IE70-7
Marketo | Análisis y seguimiento desarrollo para integración catálogo CRM con forms de Marketo;1,5;2025-05-20 11:00;2025-05-20;11:00;12:30;IE;Búsqueda evidencia sesiones realizadas sobre integración catálogo crm cn forms y necesidad de un api;IE70-3
Dev | Seguimiento implementación scripts;1,5;2025-05-20 13:30;2025-05-20;13:30;15:00;IE;Se revisan scripts flicker y munchkin en las urls proporcionadas por el ie;IE70-4
Reuniones con cliente ad-hoc;0,5;2025-05-21 06:00;2025-05-21;06:00;6:30;IE;"HERA-Validación de emails - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro



________________________________
From: Clara Pizarro Valle ";IE70-7
IP Warming | Estrategia de marketing de EE y LLL;0,5;2025-05-21 06:30;2025-05-21;06:30;7:00;IE;IE | Sesión Andrea;IE70-3
Diseño propuestas;0,5;2025-05-21 07:00;2025-05-21;07:00;7:30;IE;IE | Revisión propuesta y responsabilidades;IE70-376
IE-Planning;0,5;2025-05-21 07:30;2025-05-21;07:30;8:00;IE;IE | Sesión daniel;IE70-7
Diseño propuestas;0,75;2025-05-21 08:00;2025-05-21;08:00;8:45;IE;IE | Revisión propuesta;IE70-376
IE-Planning;0,25;2025-05-21 08:45;2025-05-21;08:45;9:00;IE;"IE70-11 CX | Planning IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 264 476 591 393
Passcode: im2AQ3zZ
________________________________
For organizers: Meeting options
_______";IE70-7
Reuniones con cliente ad-hoc;0,5;2025-05-21 09:00;2025-05-21;09:00;9:30;IE;"Alineamiento postura JSON, opción más viable y responsabilidades IE - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro


Reunión para alinear postura interna para convocara al IE y tr";IE70-7
IE-Planning;0,5;2025-05-21 09:30;2025-05-21;09:30;10:00;IE;IE | Sesión rafa para identificar dependencias;IE70-7
Marketo | Integración portal AEM con eventos de Mkto;0,5;2025-05-21 10:00;2025-05-21;10:00;10:30;IE;Revisión integración;IE70-4
Reuniones con cliente ad-hoc;1;2025-05-21 10:30;2025-05-21;10:30;11:30;IE;Sesión Anderson para ver dependencias y prioridades;IE70-7
Marketo | Integración portal AEM con eventos de Mkto;0,5;2025-05-21 11:30;2025-05-21;11:30;12:00;IE;"IE70-364 | Revisión formularios con datos precargados - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 293 085 556 108 4
Passcode: YJ6M6MM7
________________________________
For organizers: Meeting options
___";IE70-4
Diseño propuestas;2;2025-05-21 12:00;2025-05-21;12:00;14:00;IE;IE | Redacción correo propuestas integración catálogo con forms mkto;IE70-376
Diseño propuestas;1,0;2025-05-22 06:00;2025-05-22;06:00;7:00;IE;IE | Seguimiento correo propuesta, ajuste eventos ;IE70-376
Ajustes eventos de prueba;0,5;2025-05-22 07:00;2025-05-22;07:00;7:30;IE;Se ejecuta el scrapper para poder actualizar eventos actuales;IE70-331
IE-Daily;0,5;2025-05-22 07:30;2025-05-22;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,25;2025-05-22 08:00;2025-05-22;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Ajustes eventos de prueba;0,25;2025-05-22 08:15;2025-05-22;08:15;8:30;IE;Consultas Anderson;IE70-331
Sesión interna;0,25;2025-05-22 08:30;2025-05-22;08:30;8:45;IE;Revisión consultas;IE70-331
Ajustes eventos de prueba;0,25;2025-05-22 08:45;2025-05-22;08:45;9:00;IE;Consultas mariela;IE70-331
Sesion con minsait;0,5;2025-05-22 09:00;2025-05-22;09:00;9:30;IE;"IE70-375 | Solucion de dudas formularios y landing pages - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 218 510 669 299 5
Código de acceso: 4zD684iw
________________________________
Para org";IE70-358
Prueba forms dinamicos y con carga de datos;0,5;2025-05-22 10:00;2025-05-22;10:00;10:30;IE;Se empieza a probar una idea para solucionar un problema de relación de forms con landing dinamica ;IE70-331
Definir los módulos para el Template de IE;0,5;2025-05-22 10:30;2025-05-22;10:30;11:00;IE;"IE70-370 | Definir los módulos para el Template de IE - Perdón, me tocó moverla para las 1:30pm.

Saludos,
Nilka
________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 270 392 598 278 8
Passcode: x9rF632G
___________";IE70-349
Reuniones con cliente ad-hoc;1,5;2025-05-22 11:00;2025-05-22;11:00;12:30;IE;"HERA: Revisión interna CRM - Adobe - AEM - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Por favor, reenviad a quienes consideréis oportuno.
___________";IE70-7
Ajustes eventos de prueba;1;2025-05-22 12:30;2025-05-22;12:30;13:30;IE;IE | Consultas mariela y documentación cdp;IE70-331
Sesión interna;0,5;2025-05-22 14:30;2025-05-22;14:30;15:00;IE;Consultas oscar;IE70-346
Revisión scripts;1;2025-05-22 15:00;2025-05-22;15:00;16:00;IE;Se revisan si se insertaron los scripts en la web;IE70-346
Ip Warming weekly;0,5;2025-05-23 06:00;2025-05-23;06:00;6:30;IE;Weekly ip warming;IE70-307
Revision de sincronizacion Marketo & Dynamics;0,5;2025-05-23 06:30;2025-05-23;06:30;7:00;IE;Revisión mails relacionados;IE70-4
Revision de sincronizacion Marketo & Dynamics;0,8;2025-05-23 07:00;2025-05-23;07:00;7:45;IE;Diseño diagrama integracion Marketo-CRM-GDPR Service;IE70-4
Reuniones con cliente ad-hoc;1,0;2025-05-23 07:45;2025-05-23;07:45;8:45;IE;"Proyecto HERA (Adobe) | Touchpoint GDPR - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Hola a todos,

Os convocamos a la sesión Proyecto HERA (Adobe)";IE70-7
IE-Planning;0,5;2025-05-23 08:45;2025-05-23;08:45;9:15;IE;Revisión plan con daniel;IE70-7
Marketo | Propuestas para integración catálogo con forms;0,75;2025-05-23 09:15;2025-05-23;09:15;10:00;IE;Revisión propuestas;IE70-3
Sesión interna;0,5;2025-05-23 10:00;2025-05-23;10:00;10:30;IE;"Sync sobre puntos de formularios y subdominios - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 100 460 179 3
Código de acceso: d6MM7uA7
________________________________
Para org";IE70-376
Sesión interna;0,5;2025-05-23 10:30;2025-05-23;10:30;11:00;IE;Revisión problemas con Andres;IE70-376
Sesión interna;0,5;2025-05-23 14:30;2025-05-23;14:30;15:00;IE;Sesión Andres;IE70-376
Seguimiento;0,5;2025-05-26 06:00;2025-05-26;06:00;6:30;IE;Se revisan los correos enviados por IE;IE70-376
Ajuste documentaciones;0,5;2025-05-26 06:30;2025-05-26;06:30;7:00;IE;Ajuste documentaciones con datos de prod;IE70-346
Sesión Minsait;1,0;2025-05-26 07:00;2025-05-26;07:00;8:00;IE;"IE | Pruebas e2e Portal eventos - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 271 366 340 374
Passcode: wD7rn3np
________________________________
For organizers: Meeting options
_____";IE70-331
IE-Daily;0,25;2025-05-26 08:00;2025-05-26;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Reuniones con cliente ad-hoc;0,75;2025-05-26 08:15;2025-05-26;08:15;9:00;IE;Sesión con Minsait para revisar tareas dependentes antes y despues de la salida del 30/07;IE70-7
Reuniones con cliente ad-hoc;1;2025-05-26 09:00;2025-05-26;09:00;10:00;IE;"IE HERA - CR landings y formularios - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Ver adjunto

Adjunto la última versión de la Excel que recoge ";IE70-7
Marketo | Refinamiento de propuesta de formularios globales;0,5;2025-05-26 10:00;2025-05-26;10:00;10:30;IE;"Revision de formularios priorizados - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 233 214 962 453 1
Código de acceso: qb2qT2Uc
________________________________
Para org";IE70-4
Reuniones con cliente ad-hoc;0,5;2025-05-26 10:30;2025-05-26;10:30;11:00;IE;Revisión PaP - integración Marketo - CRM - @Andrea Castillo @Shamir Duran Castro si no podéis en este horario, me indicáis, yo tengo poco margen esta tarde, por lo que os agradecería que intentáramos mantener la hora.;IE70-7
Reuniones con cliente ad-hoc;0,5;2025-05-26 11:00;2025-05-26;11:00;11:30;IE;"HERA: Revisión interna CRM - Adobe - AEM - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Por favor, reenviad a quienes consideréis oportuno.
___________";IE70-7
Seguimiento;0,5;2025-05-26 11:30;2025-05-26;11:30;12:00;IE;Revisión implicaciones propuesta con Minsait;IE70-376
Revisión scripts;0,25;2025-05-26 15:00;2025-05-26;15:00;15:15;IE;Se envia correo luego de revisar los scrints en las webs;IE70-346
IE-Planning;0,75;2025-05-26 15:15;2025-05-26;15:15;16:00;IE;"IE- | Revision de sesiones y creaciones de solicitud de agendas - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 261 533 681 525 1
Código de acceso: XX3xP9po
________________________________
Para org";IE70-7
Revision de sincronizacion Marketo & Dynamics;0,5;2025-05-27 06:00;2025-05-27;06:00;6:30;IE;Revisión campos a sincronizar nuevos;IE70-4
Ajustes eventos de prueba;1,0;2025-05-27 06:30;2025-05-27;06:30;7:30;IE;Ajuste eventos;IE70-331
IE-Daily;0,5;2025-05-27 07:30;2025-05-27;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,25;2025-05-27 08:00;2025-05-27;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Prueba forms dinamicos y con carga de datos;1,25;2025-05-27 08:15;2025-05-27;08:15;9:30;IE;Diseño prueba forms dinamicos con aem;IE70-331
Revision de change request;0,5;2025-05-27 09:30;2025-05-27;09:30;10:00;IE;"IE | Dynamics y Marketo Interna - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 227 427 731 465 0
Passcode: jH2Z3Pd3
________________________________
For organizers: Meeting options
___";IE70-358
Sesión cliente;1;2025-05-27 10:00;2025-05-27;10:00;11:00;IE;"Revisión de escenarios y toma de decisión asociada a la extracción del catálogo de productos desde CRM(JSON) - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro


______________________________________________________________";IE70-376
IE-Planning;2;2025-05-27 11:00;2025-05-27;11:00;13:00;IE;IE | Sesión Andre para planning;IE70-7
Revision de change request;1,5;2025-05-27 14:00;2025-05-27;14:00;15:30;IE;"IE- | Change request Target - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 243 041 112 054 7
Código de acceso: v4FH6vQ2
________________________________
Para org";IE70-358
Revision de change request;0,5;2025-05-27 15:30;2025-05-27;15:30;16:00;IE;Sesión dave y andrres;IE70-358
Sesión IE;1,0;2025-05-28 06:00;2025-05-28;06:00;7:00;IE;"Proyecto HERA (Adobe) | Modelo de datos Marketo - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro

Hola a todos,

Os convocamos a la sesión Proyecto HERA (Adobe)";IE70-346
ALL | Creacion de estretagia de casos de uso ;1,0;2025-05-28 07:00;2025-05-28;07:00;8:00;IE;"Plan de pruebas - gestión de leads - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro


______________________________________________________________";IE70-4
IE-Daily;0,25;2025-05-28 08:00;2025-05-28;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Diseño propuestas;2,5;2025-05-28 08:15;2025-05-28;08:15;10:45;IE;"IE | revisión CR para Forms y AEM - Se revisara que necesitan los forms de Marketo que pueda proporcionar AEM

________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 256 151 196 967 1
Passcode: uR2yA";IE70-376
Definir los módulos para el Template de IE;0,25;2025-05-28 10:45;2025-05-28;10:45;11:00;IE;"IE70-370 | Definir los módulos para el Template de IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 273 570 043 263 3
Passcode: Dh38F7EN
________________________________
For organizers: Meeting options
___";IE70-349
Marketo | Creacion de subdominios;0,5;2025-05-28 11:30;2025-05-28;11:30;12:00;IE;Sesión con Oscar para consulta;IE70-3
Revisión modelo de datos;3;2025-05-28 12:00;2025-05-28;12:00;15:00;IE;Sesión con Andrea para validar modelo de datos;IE70-346
Revisión modelo de datos;1;2025-05-28 15:00;2025-05-28;15:00;16:00;IE;Sesión con andre para validar modelo;IE70-346
Sesión Minsait;1,5;2025-05-29 06:00;2025-05-29;06:00;7:30;IE;Sesión con Anderson para validar propuesta AEMxCRM;IE70-376
IE-Daily;0,5;2025-05-29 07:30;2025-05-29;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,25;2025-05-29 08:00;2025-05-29;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
Diseño propuestas;0,5;2025-05-29 08:15;2025-05-29;08:15;8:45;IE;Creación correo aclarando que se hara;IE70-376
IE-Planning;0,5;2025-05-29 08:45;2025-05-29;08:45;9:15;IE;Sesión daniel;IE70-7
Diseño propuestas;0,25;2025-05-29 09:15;2025-05-29;09:15;9:30;IE;Redacción correo;IE70-376
Reuniones con cliente ad-hoc;0,75;2025-05-29 09:30;2025-05-29;09:30;10:15;IE;"HERA | Emails 1, 2, 3 Marketo y CRM - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón ciberseguridad@omni.pro


________________________________
From: Andrea Castillo <andre";IE70-7
Diseño propuestas;0,75;2025-05-29 10:15;2025-05-29;10:15;11:00;IE;Redacción correo;IE70-376
Diseño propuestas;2,75;2025-05-29 13:00;2025-05-29;13:00;15:45;IE;Redacción varios correos consideraciones instancias, explicación propuesta AEMxCRM ;IE70-376
Marketo | Integración portal AEM con eventos de Mkto;0,75;2025-05-29 15:45;2025-05-29;15:45;16:30;IE;Se buscan y comparten datos e acceso y se configura lo necesario para ejecución de pruebas de addon en aem;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;1,0;2025-05-30 06:00;2025-05-30;06:00;7:00;IE;IE | Pruebas forms y ajustes eventos ;IE70-4
Marketo | Integración portal AEM con eventos de Mkto;0,8;2025-05-30 07:00;2025-05-30;07:00;7:45;IE;Se ajustan configuraciones para las pruebas de addon de AEM por parte de mariela;IE70-4
Prueba addon AEM;2,3;2025-05-30 07:45;2025-05-30;07:45;10:00;IE;Prueba uso addon aem con forms de Marketo;IE70-331
IE-Planning;0,5;2025-05-30 10:00;2025-05-30;10:00;10:30;IE;"IE - Pre Refinamiento - ________________________________
From: Daniel Garac y Gojak <garac.daniel@omni.pro>
Sent: Friday, December 13, 2024 8:41:03 AM (UTC-05:00) Bogota, Lima, Quito, Rio Branco
To: Daniel Garac y Gojak <garac.daniel@omni.pro>; Rafael Buitrago <rafael.buitr";IE70-7
Prueba addon AEM;0,75;2025-05-30 11:15;2025-05-30;11:15;12:00;IE;IE | Configuración AEM local para pruebas;IE70-331
Revision de sincronizacion Marketo & Dynamics;1;2025-05-30 13:00;2025-05-30;13:00;14:00;IE;IE | Respuesta correo preparación producción y se comparte solución a instalar con CRM;IE70-4
Prueba addon AEM;2;2025-05-30 14:00;2025-05-30;14:00;16:00;IE;Se prueban las funcionalidades del addon, se evidencia la pisibilidad de agregar javascript, de configurar variable en los forms;IE70-331
IE-Planning;0,5;2025-05-30 16:00;2025-05-30;16:00;16:30;IE;"Cx | Urgente IE - ________________________________
De: Diego Segura Mateus <diego.segura@omni.pro>
Enviados: viernes, 30 de mayo de 2025 17:27:14 (UTC) Coordinated Universal Time
Para: Diego Segura Mateus <diego.segura@omni.pro>; Cristian Adrian Arango <cristian.arang";IE70-7
IE-Planning;2,75;2025-05-30 16:30;2025-05-30;16:30;19:15;IE;Planteamiento correo para levantar riesgos con Daniel y Dayana;IE70-7
Reuniones con cliente ad-hoc;1,5;2025-06-03 06:00;2025-06-03;06:00;7:30;IE;IE | Revisión script anti parpadeo en los sitios;IE70-7
IE-Daily;0,5;2025-06-03 07:30;2025-06-03;07:30;8:00;IE;"IE | Weekly Marketing - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 069 280 827 6
Passcode: 8As3Me6v
________________________________
For organizers: Meeting options
___";IE70-7
IE-Daily;0,25;2025-06-03 08:00;2025-06-03;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 249 274 118 740
Código de acceso: vJ2rC74M
________________________________
Para organizadore";IE70-7
